ID,Holder,Number,EIngebaut (von oben),Position,Formula,Minerale,Description,Comment,Referenz,SiO2,TiO2,Al2O3,Cr2O3,CrO3,Fe2O3,FeO,NiO,MgO,MnO,CaO,Na2O,K2O,H2O,Li2O,BeO,CO2,P2O5,SO3,ClO,V2O5,CoO,ZnO,As2O3,Rb2O,SrO,Y2O3,ZrO2,NbO2,SnO2,Cs2O,BaO,WO3,REE2O3,Sc2O3 ,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,HfO2,PbO,ThO2,UO2,U3O8,Si,Mg,Fe,Ca,B,N,Na,Ni,Ti,Mn,F,Li,S,C,P,Cl,Co,Cu,Zn,An,Cd,Sc,Cr,Pt,Tb,Hf,Nb,Ce,Cs,Ga,Be,Ag,Ru,As,Se,Al,Ge,In,Br,Ir,Mo,Sn,Sb,Dy,Pd,Er,Ta,Re,Sr,Rh,Te,Au,I,O,Hg,La,Tl,Pb,Bi,Ba,V,W,Y,Zr,Total,cps/nA,TAP1,TAPL2,/,TAPL4,/,,PET1,PETL2,PETL3,/,PETH5,,/,/,LIFL3,/,LIFH5,sonstige Kristalle
25,Block 4,,nein,,,Diopsid,"Natural Bridge, NY",,"Smithsonian, USNM 117733",54.87,,0.11,,,,0.24,,18.30,0.04,25.63,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.53,,,,,,,,,,,,,,,,,,,
26,Block 4,,nein,,,Omphacit,Roberts Victor Mine SA,,"Smithsonian, USNM 110607",55.42,0.37,8.89,,,1.35,3.41,,11.57,0.10,13.75,5.00,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.01,,,,,,,,,,,,,,,,,,,
27,Block 4,,nein,,,"Pyrop, Kakanui",,,"Smithsonian, USNM 143968",41.46,0.47,23.73,,,,10.68,,18.51,0.28,5.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.30,,,,,,,,,,,,,,,,,,,
28,Std 1,1,nein,,,Gahnite,,,"Smithsonian, USNM 145883",,,55.32,,,,1.97,,,0.38,,,,,,,,,,,,,42.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.17,,,,,,,,,,,,,,,,,,,
29,Std 1,2,nein,,,Anorthoclase,Kakanui,,"Smithsonian, USNM 133868",66.44,,20.12,,,,0.20,,,,0.87,9.31,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.29,,,,,,,,,,,,,,,,,,,
30,Std 1,3,nein,,,Plagioclase,"Labradorite, Lake County",,"Smithsonian, USNM 115900",51.25,0.05,30.91,,,0.34,0.15,,0.14,0.01,13.64,3.45,0.18,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.17,,,,,,,,,,,,,,,,,,,
31,Std 1,4,nein,,,Anorthite,Great Sitkin Island,,"Smithsonian, USNM 137041",44.00,0.03,36.03,,,,0.62,,,,19.09,0.53,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.33,,,,,,,,,,,,,,,,,,,
32,Std 1,5,nein,,,Microcline,,,"Smithsonian, USNM 143966",64.24,0.01,18.30,,,,0.04,,0.03,0.04,0.02,1.30,15.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.38,,,,,,,,,,,,,,,,,,,
33,Std 1,6,nein,,,Apatite,Fluorapatite,,"Smithsonian, USNM 104021",0.34,,0.07,,,0.06,,,0.01,0.01,54.02,0.23,0.01,0.01,,,0.05,40.78,0.37,,0.01,,,0.09,,0.07,,,,,,,,1.43,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,3.53,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.52,,,,,,,,,,,,,,,,,,,
34,Std 1,7,nein,,,Augite,Kakanui,,"Smithsonian, USNM 122142",50.73,0.74,8.73,,,1.08,5.37,,16.65,0.13,15.82,1.27,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.56,,,,,,,,,,,,,,,,,,,
